SaleID,ExhibitionID,Item,Qty,Price,Date
44,44,10GeIl9ijL,19,214.69,1983-08-17
45,45,EFuMv%$V!1,9,47.39,1993-08-23
46,46,Q*%qEOjX5B,56,470.75,1968-04-08
47,47,ew69u1V#93,60,862.57,2025-02-13
48,48,wwRq4k%afT,35,876.4,1997-12-10
49,49,SGH^2hQ&S3,13,85.27,2024-12-17
50,50,mbE gvNyAE,11,851.34,2014-12-17
51,51,G!ziTuKcm$,44,395.74,1997-04-27
52,52,slUp&d4pCz,90,172.24,FHEvY0
53,53,nj1qonem2^,31,166.31,1972-08-14
54,54,FeHwFI$ocA,7,903.43,1950-07-05
55,55,LuzODguTLG,8,270.62,1968-02-01
56,56,90Xoa5w@O1,53,227.46,ZtI37x
57,57,ZW^3C#5U#f,59,554.22,2024-06-25
58,58,d7^%E4Qmlx,4,523.47,2021-01-03
59,59,$uKEtrSLtA,91,900.91,1962-09-24
60,60,Nv^ofrL2lG,2,826.23,3gX8Kz
61,61,fF@zCGw6 d,11,84.72,1961-09-06
62,62,zoITlqnxPL,6,901.96,fWcsc8
63,63,4y$f%K#M 7,85,705.49,c5HvJ7
64,64,VViDm%&&Pp,3,678.27,2014-02-14
65,65,vN#qO*pHvK,76,665.05,1962-11-21
66,66,3oXnJXf5op,63,618.41,1966-10-08
67,67,lwzg2KE%5G,50,63.74,2016-08-14
68,68,iu29tB$V^r,89,265.75,1997-08-20
69,69,BnLeXq*3*2,77,427.4,1990-09-09
70,70,oOujhzpny$,21,89.0,1974-03-22
71,71,9wsl6tut8l,28,686.91,1996-03-02
72,72,wd1VgsG&Pq,39,223.08,2014-01-15
73,73,Yg&CsWmYC5,22,306.69,1981-03-14
74,74,NmpPZ2TH%S,88,832.34,1952-01-13
75,75,p5Nl*7LLPS,5,356.43,q8PXXx
76,76,pnywgRR$#Z,22,74.03,1977-07-11
77,77,rB2&RZSYSp,52,413.73,1974-03-15
78,78,Z4u^WK1GaG,25,611.48,2004-06-09
79,79,lJmQLt17Rm,35,643.67,1955-07-22
80,80,&$dP sQOPE,48,558.56,1970-11-10
81,81,I57sWn meo,48,88.48,2023-11-18
82,82,$SyVbwIxLr,8,482.39,2019-01-19
83,83,4f4XObBr#z,85,41.96,1960-07-26
84,84,NBX2W#mDrC,44,372.31,1999-10-11
85,85,b%hjqmQH40,12,526.76,2006-08-09
86,86,$ZU5G F9eG,36,650.4,1983-11-02
87,87,YtHp3aFtii,96,57.81,2007-07-28
88,88,Jb*Q8j99Gk,39,32.38,2008-11-24
89,89,J#o ^@WJrw,48,455.38,1979-01-16
90,90,pfzeGz5*z#,17,318.82,2016-08-02
91,91,pzQ5eAEBfV,51,831.81,1982-12-07
92,92,mwZ#rlQEcW,72,457.42,2004-02-15
93,93,t&^wvDPksk,95,22.31,1956-11-13
94,94,QPSscBspFi,17,85.82,1993-06-15
95,95,M#YpseKpot,20,853.71,1986-09-03
96,96,I%45*!Ofna,5,600.18,1999-02-23
97,97,H&i&8&FIbk,72,142.65,1997-03-07
98,98,O#5V*d%*ly,59,748.89,VGEDK9
99,99,^tT2VNN P&,74,521.28,2004-02-26
100,100,A!u&bRuUT@,62,225.04,1967-05-05
101,101,HYsdd0$9x6,26,245.24,1980-08-07
102,102,PFBEsei t4,60,919.26,1985-02-27
103,103,VZe1K%fH9B,94,666.8,2020-08-18
104,104,Fh0EQ8mz$b,24,145.88,2004-10-04
105,105,g2aDzzYwg4,100,567.78,2a0pQb
106,106,jg$jam%9hX,87,596.32,1955-05-20
107,107,snjrdjNn2L,14,41.07,1960-07-05
108,108,@Q0IHeBUrm,31,697.47,1954-06-03
109,109,r23pPqd0iP,78,714.26,1955-05-08
110,110,RxAcg41#1e,76,831.14,2004-03-09
111,111,jE$Wk6RxhL,90,199.0,grDb38
112,112,Ups265oWPA,94,133.46,1954-03-25
113,113,z3qdJsJhL&,8,704.47,2004-03-26
114,114,bZPiyTAmc ,86,960.98,1956-09-19
115,115,*j67*Qf#7a,30,406.7,hvbVdQ
116,116,^p#Ecr8oG^,18,485.06,mjVa3k
117,117,a&O9PpfQaQ,80,830.67,2010-11-09
118,118,cazmzLy6N3,14,172.92,2007-08-08
119,119,KsI4p&LH*K,29,620.96,1974-07-10
120,120,x&zLrWVOj2,39,941.67,UaNk31
121,121, yO*9C2jKK,82,641.58,1985-02-23
122,122,&qSZATp6tO,12,278.53,1950-03-28
123,123,1q eZW*Mvz,80,630.75,1960-12-24
124,124,c0Ux$rKffS,94,310.42,2012-04-22
125,125,^V%*cv6NCf,84,43.37,1986-10-13
126,126,1$n9n%QuWF,62,423.66,1966-05-27
127,127,ki1rwvB#&T,79,877.81,1973-12-07
128,128,jTaD5huWb5,27,624.21,1958-01-02
129,129,QA#aKuaWFY,65,288.66,1957-03-06
130,130,*bJktcPYF0,78,789.8,1992-10-14
131,131,Yg8*%$5Vie,71,498.31,1953-12-28
132,132,o@h*iHSIiH,5,702.51,1962-10-08
133,133,PnoQWdxd70,17,967.06,1977-02-23
134,134,46fvwygeUd,70,318.44,1992-08-17
135,135,jzzA7K3dx9,28,595.77,8Oxo0B
136,136,j6RgU1bG^N,84,180.12,AxTMRb
137,137,zUuEp%!fj$,4,368.64,1961-04-16
138,138,doD5aIMFH7,51,690.68,1970-11-27
139,139,ZZowO4nVor,10,85.59,1978-07-28
140,140,I c HJAXA@,53,918.16,1989-12-06
141,141,cpB%NnS4m4,70,201.69,1990-06-23
142,142,YLS@#yeNvN,65,66.52,1979-05-04
143,143,J%w2Go&BlM,41,702.57,opF4Ac
144,144,PzUSa!V^8r,30,509.35,kBEHz7
145,145,nZwm8Cnt!I,75,986.77,1972-07-01
146,146,azLs lRKu4,99,339.68,1963-08-19
147,147,DYd%aZLCxD,6,936.36,1995-01-03
148,148,Tw53EAG*2s,66,67.5,1996-05-11
149,149,ApX$Sx*2qj,24,803.26,1952-12-14
150,150,eQtx &sJ9a,96,14.58,0hvgGg
151,151,LiB^381wz9,91,493.76,1965-08-22
152,152,Ba!6Fb%5vI,78,232.85,1989-07-06
153,153,D1A4fiV&Cb,48,779.1,2003-10-08
154,154,1rzLQL68xX,82,560.41,NZsYVT
155,155,xFy4k6E3w!,27,17.12,1983-02-14
156,156,#RORwO HgS,30,479.9,1956-05-05
157,157,B7iFjA7w1B,45,78.18,1953-11-24
158,158,udvXYrw*SP,74,928.42,Qi6AbA
159,159,%i6pa37!Tq,17,635.78,1969-11-23
160,160,9QQBp%K8V0,92,934.17,0PhbYh
161,161,Q TXM85Ovc,75,929.15,1954-09-07
162,162,nSXOq0KfUd,81,426.93,1971-01-25
163,163,&kmU#JRVea,47,726.26,1985-08-27
164,164,*PNg$cjeqW,31,502.74,W83aPJ
165,165,%ws#$HOZQ5,72,761.28,2024-05-04
166,166,tbMBW2lsyK,10,550.06,2025-07-24
167,167,SIt#HbyAiQ,44,439.39,1970-04-16
168,168,tGBuwK!i41,77,316.0,2013-06-24
169,169,iaVibGX04!,58,458.82,ESeMnP
170,170,0RsMG9IFR0,12,805.2,cL48ML
171,171,VSvD2jXbRl,72,309.4,8tWBjm
172,172,6tYa*7v2iL,39,697.71,2001-09-18
173,173,w&zUWgNSDH,79,105.81,1958-05-24
174,174,#bC@LSf#NF,38,48.8,1993-03-16
175,175,!hJySHh3lw,87,289.28,2004-01-08
176,176,figuDwyL^i,43,204.12,MY7I4H
177,177,CiK%FSOcv9,10,363.27,2021-08-25
178,178,Z2*PjjLpKw,94,601.11,1979-10-13
179,179,qrMsHJAWCs,10,316.22,1988-12-21
180,180,AWM8L&*Rhf,44,304.85,1959-04-28
181,181,G9oMh6HKj#,8,968.31,1973-05-18
182,182,688MeIZgc6,92,493.07,1960-06-25
183,183,i9d6wMaf&t,40,593.56,1976-04-10
184,184,d0bB@$jSj3,53,986.51,1978-08-14
185,185,PkxVwff*L@,9,632.31,2009-12-23
186,186,QdjeiQbyj^,75,253.57,1983-04-25
187,187,i0wR&EMp2I,94,114.52,1980-08-03
188,188,tXl%TKx#9w,10,831.39,2020-07-25
189,189,Exi10of8wS,17,377.07,1951-09-28
190,190,# sjjQa9Nx,26,822.89,1954-09-26
191,191,Kb$q0ToQI!,60,448.26,1963-02-20
192,192,cUtUT7kVDk,59,722.3,1995-08-28
193,193,rA&ce2d$zZ,1,115.58,1967-05-25
194,194,M&BR#yiqxe,25,665.3,1982-10-18
195,195,rX54maoU3b,29,175.45,2018-05-08
196,196,YMi%@BoBxO,80,68.72,2023-08-18
197,197,9jv9 r@1KG,21,279.26,1975-06-19
198,198,aHYGMaVPBp,60,986.7,2013-11-05
199,199,Y@sCFpPihL,12,122.68,2017-06-22
200,200,#1GEoLxOa^,70,287.93,1999-07-04
201,201,EI5#uU%%u!,50,260.0,2006-08-17
202,202,pXT491dR7j,98,839.33,1988-11-13
203,203,AaNdS*1Uy$,81,68.24,1974-04-09
204,204,zfAmFYYDZg,81,358.88,2008-12-13
205,205,WEdmqcBD5E,59,716.67,2011-09-02
206,206,JAFUwkymq6,13,652.46,2011-12-01
207,207,xs8uU! *C9,50,594.6,1993-05-22
208,208,52f^QiywkV,45,101.94,1989-04-19
209,209,yWI&aR!e1B,60,524.05,7psow2
210,210,A! N0geNil,52,902.41,1985-04-10
211,211,7M oaM17e@,53,64.21,1993-02-24
212,212,Sy7k2xEx4a,27,35.44,1962-06-23
213,213,T*emQjX^dX,98,568.76,2011-01-24
214,214,Ng#SY%!GP1,77,406.44,1959-03-16
215,215,Q9RFkeO7Kc,77,163.89,1950-05-19
216,216,rkE29RW&Mv,34,303.03,1983-12-01
217,217,iq7L#z3^pp,100,154.99,1989-07-02
218,218,Rey8twF5HZ,48,634.7,2005-06-25
219,219,tNcCdsGeUE,61,224.6,1983-10-09
220,220,#6GfR%bukC,28,215.29,1959-04-19
221,221,Q9Yt$ tI7!,33,954.72,2025-12-09
222,222,GMa@kuOJ*X,90,325.16,1973-02-01
223,223,NEX2e^A0cw,26,382.54,2012-03-04
224,224,$ghiZpOK8l,92,467.84,nozj2k
225,225,RoGI5Fgl1Z,73,815.85,1981-07-24
226,226,h%A2dqP!A4,4,435.12,1955-03-09
227,227,Lv8Pg6AN90,33,682.41,1AsJsP
228,228,JIV30BjCmV,15,676.03,1974-10-25
229,229,&M P%aH%tl,90,417.15,2017-02-07
230,230,mIy#ylRM^&,23,123.98,1977-01-08
231,231,A&TlU2iWSH,78,224.66,1994-07-20
232,232,l#*F#Knvf0,32,557.49,2000-05-01
233,233,tt8U8jQieK,99,748.17,1964-07-17
234,234,&BgVx ciT1,52,12.53,1953-11-24
235,235,IAjx&^sn%f,30,891.27,2012-12-02
236,236,t#rtkyvw G,16,876.97,SRwk5n
237,237,gKhLaKn&*&,39,717.15,2004-02-19
238,238,zi3mWrYDEW,62,538.14,2017-07-14
239,239,Dva^N*l @M,57,650.46,1982-03-21
240,240,Umr^AjiHVU,84,765.21,1979-10-25
241,241,ApsbZ5@MZc,81,894.81,2001-12-11
242,242,hAiB GVAz1,10,578.32,1964-03-17
243,243,@X71Rv@RmH,31,363.21,1983-04-15
244,244,scu@o!vy7%,18,252.09,1969-02-03
245,245,57VtN%pwV%,37,557.58,1953-05-06
246,246,1vv#BAo&0k,50,204.24,zqgIjJ
247,247,R$ZWDynqID,81,406.0,1951-11-11
248,248,Cb!qIRB4mg,37,92.68,1951-05-21
249,249,4Xxg*U19bO,23,803.06,1993-05-07
250,250,d2BTz&qUge,96,691.19,1969-03-17
251,251,hllZ^K*Ax7,14,643.07,1977-09-22
252,252,bCQvVD9Luu,93,824.02,2013-03-03
253,253,6gdrV^zMQ0,18,240.66,2007-08-08
254,254,X^CpTU4KRP,72,526.32,2003-12-12
255,255,3%Te3yNAR@,71,67.89,1968-08-06
256,256,wqtAPhsZ*a,61,842.0,1956-07-23
257,257,wNJI&vZ8^S,73,263.23,1992-02-23
258,258,^H0&msq!kI,34,32.98,1999-06-22
259,259,aGut^F*OEp,39,789.24,1997-10-06
260,260,3RON!9suuo,67,180.88,2018-03-06
261,261,yJMATntIT*,20,120.6,1980-05-23
262,262,bT!qdrbH7q,100,879.75,1968-10-03
263,263,HuZlWGWo8t,2,477.01,1957-11-17
264,264, 7@1rjED*2,77,245.99,1971-06-16
265,265,wni7Kj6eCX,21,809.59,2021-10-28
266,266,lBqUEZVH2f,72,833.71,2021-02-27
267,267,3ojmzb$SV&,12,286.98,iwKbnd
268,268,JUSI7Ntmk^,13,498.73,2011-11-06
269,269,*IRY^avYOj,96,500.5,1975-11-14
270,270,*^3peiB*3c,33,759.42,2Rstj7
271,271,%tN^2 NUgs,82,896.28,1982-09-12
272,272,*I vstnyBt,9,680.76,2025-11-07
273,273,4dD#Gr1A&T,12,836.11,1960-05-19
274,274,6IhmCpHYfZ,79,539.43,1997-09-27
275,275,Kr0KRaL@g%,33,678.66,2016-04-19
276,276,dED L^wd8J,21,915.59,2016-11-21
277,277,23FMx 2U7w,74,976.5,2023-10-15
278,278,XOBpLWT$Mg,27,806.27,2024-10-27
279,279,B!KoiLjIy&,47,573.97,2022-02-15
280,280,TqZ@y9xP7B,9,929.06,1956-03-22
281,281,THhedUw#Vn,78,384.76,1992-05-26
282,282,p8OmYCbO1^,21,742.61,1982-04-13
283,283,!aJKsWO6O#,61,542.21,2008-05-02
284,284, WoiO%cYwZ,83,245.85,2020-03-17
285,285,BqwXURznnz,96,222.66,eOAFm7
286,286,acX6ZuQw8R,21,332.38,1984-08-14
287,287,VWq#vlGd^z,79,940.04,1966-12-22
288,288,LBG#w#n!Ed,14,551.02,WJThEV
289,289,NNsD7JKDf7,80,499.63,1986-09-28
290,290,QHe7NjrHCC,8,70.52,1963-06-05
291,291,NLseYIC@Q ,15,712.15,1957-03-27
292,292,us8v%a@pfF,39,256.87,2022-01-07
293,293,8*MyRRida7,93,350.45,2015-09-27
294,294,jhUx4h 8M7,23,112.78,1998-01-13
295,295,CURwjrquWW,96,462.07,1951-10-16
296,296,Kcl^fel3L^,11,102.93,2004-03-23
297,297,ROYEm%7A4Y,54,307.28,2008-05-07
298,298,wMxi Qeawk,54,448.84,1994-04-09
299,299,Ro7Z^&Kz0Z,63,913.9,1984-06-25
300,300,jc*l2c%nOT,47,519.75,1963-11-14
301,301,W2miaWc*I1,49,571.63,2016-12-10
302,302,yHoqBU39HO,47,367.39,aJtTH4
303,303,xg7QFo$4ms,81,803.27,2000-01-01
304,304,GH6t84YeKw,87,880.24,1952-02-13
305,305,dwyR!j2jy%,30,108.5,2023-12-13
306,306,he!7Cu&KfS,79,868.3,1997-04-27
307,307,GCsw7iyXu5,52,844.28,1958-09-26
308,308,OIx58!@I#%,52,489.68,1982-03-16
309,309,oQz&1m1%s4,85,606.62,1970-07-17
310,310,Zn7qL%L!*X,36,10.31,2005-06-16
311,311,D!mq3b#N2@,43,358.62,Pwa5rI
312,312,FgW4VNHQr@,50,830.45,2007-12-26
313,313,i1KE1aRRzm,47,705.63,1971-11-11
314,314,uL8Rui!t8e,22,316.55,1982-02-19
315,315,XIUg$zS#HU,82,590.56,1992-10-08
316,316,*uEZK FMO$,69,708.19,1959-01-11
317,317,AjSmYoK%iJ,15,919.42,2009-03-04
318,318,AtRn xvAuY,100,803.27,1954-07-22
319,319,sC#QRY$iK ,19,558.97,2015-08-07
320,320,K7yCKkkojp,83,433.91,1997-02-12
321,321,2W1gBUmt^u,99,190.52,1968-09-13
322,322,VfHb mF4Vw,95,901.82,1966-05-19
323,323,^dZRb4PuU%,32,902.94,1992-09-17
324,324,wycmXYgPTS,59,815.37,1980-05-22
325,325,m*@6xLR5zy,92,508.15,1974-07-27
326,326,tjc89 hL N,86,205.38,1951-11-02
327,327,PmVs$6HTj%,75,31.0,fN946U
328,328,ftZf!a%0$p,38,785.96,2019-02-25
329,329,cjKfpv5cey,60,934.18,2012-10-20
330,330,R4QaTAKU6i,56,475.43,1973-10-21
331,331,l7Ganu#Smu,82,566.29,9d45vO
332,332,V*KUAtWNTZ,4,175.13,1957-04-12
333,333,MDyzv3FV2^,30,154.72,2017-12-20
334,334,0FNJeYWC1V,75,996.13,1987-07-01
335,335,9s#L4HNyM3,32,226.76,2021-10-11
336,336,YUIjo9Kc5l,40,232.89,2022-06-03
337,337,TC554gW55N,41,49.97,1984-08-04
338,338,n%JYgylqZ1,88,704.53,2014-03-06
339,339,5gysIp^cf%,40,673.18,4jANE2
340,340,gc15AdOt^a,64,108.74,2025-07-12
341,341,&LAgSgdUb&,34,843.11,2001-04-09
342,342,n!CTlYBKba,68,979.73,1978-10-06
343,343,*l*5Y&KoyY,80,263.7,etHlDx
344,344,uF7ETFeIXa,19,834.79,1982-03-08
345,345,kTj1S8micx,86,659.87,1971-04-02
346,346,qW64J@bd83,54,418.57,1950-05-11
347,347,l5YCSuI4wW,24,677.46,1991-04-04
348,348,Ml6lXnC2OH,57,239.02,1980-10-25
349,349,%Zwn6M@9*E,99,209.89,1982-11-04
350,350,zz$wjWFHkb,24,633.53,1961-07-27
351,351,Ma!tNvw%Fo,38,90.47,1994-02-26
352,352,!3$MYj#F$n,78,796.68,1955-12-01
353,353,AcCjF! Y%I,20,703.2,1975-10-27
354,354,qnA 26Llg@,96,420.45,2008-01-19
355,355,IQhpLON$!3,16,933.27,mPk64t
356,356,Ly&3QwnUbE,25,156.73,2020-04-08
357,357,k*gYm80ImT,8,99.19,2022-10-07
358,358,S4w9zfaLc^,84,31.84,2005-01-08
359,359,UiXnyvp6j!,53,349.07,1972-09-26
360,360,obCeCICxIr,87,337.14,1988-05-24
361,361,BwbGwzUvTp,82,15.27,1976-08-07
362,362,5xiMkF4VVY,22,380.4,1970-02-17
363,363,CPrbGMgPk9,88,684.56,2021-07-19
364,364,4NTeVBGkSi,35,585.93,2000-02-07
365,365,5SPIOQ0z#s,3,900.91,I4eKt5
366,366,pa7b#0!7Q&,99,755.03,2019-05-22
367,367,MkaFUGSv$1,49,154.64,1978-03-15
368,368,#HKruq17p6,37,113.75,2009-04-10
369,369,S@5OqrTArp,82,432.28,2Z9tZW
370,370,5^cA^Uc i5,75,373.26,1996-11-10
371,371,3XjeN@0NWV,20,903.09,1979-07-11
372,372,P$*c$au4vQ,67,751.34,1969-12-20
373,373,G&n3ut^7SU,46,264.85,1957-05-27
374,374,m7HHm9KLRg,60,505.22,F6WJXR
375,375,6x0xdqya8k,22,905.54,1975-05-18
376,376,N$wTmhmc@2,49,395.85,1971-05-26
377,377,blPgQRvRYV,69,285.18,1996-05-28
378,378,PiV g jXha,31,756.91,1977-07-01
379,379,^^$xiqKiff,85,857.04,1973-11-15
380,380,pQV1jHxEN*,27,995.97,2014-05-27
381,381,FZ&6glXpp3,9,570.39,2001-05-11
382,382,QtMUlsISDU,52,191.9,2011-06-24
383,383,VqaEw#!qi@,65,422.73,2006-11-15
384,384,RpSHr@gWUN,16,132.62,mAG9MY
385,385,DqC@56nP2O,70,35.02,1965-10-17
386,386,tf*ueX8OPj,95,760.96,2013-05-21
387,387,14fA&!kD4n,37,633.94,1983-05-20
388,388,fXqjWvaxLu,90,612.02,2017-02-08
389,389,X!Cx!cx%7C,52,782.04,2003-12-26
390,390,SNeE3ADGpS,59,879.03,1976-02-26
391,391,QDN@!kQ@QC,88,828.37,2016-03-17
392,392,0HN0bvoM&y,20,166.14,2005-01-27
393,393,2M4n09X4tg,8,902.35,2006-10-24
394,394,bW&ixrZ#%z,15,510.72,1985-02-27
395,395,V6hk1hfCDY,3,724.43,1991-10-24
396,396,NL2Z6KzO0$,42,603.63,1954-01-13
397,397,DJOA0sgv7 ,71,507.58,1979-08-04
398,398,DVYw!YaHl ,58,449.05,O5Uc1Y
399,399,glM P$t&L2,31,266.24,1957-01-22
400,400,lOlIC%!2S5,54,441.54,2014-11-17
401,401,h0j&VNaOvq,63,187.41,1976-09-21
402,402,F4nwjECmaM,28,657.84,1975-01-13
403,403,Qg6zAD9XIQ,92,401.1,1997-09-05
404,404,z*D1Xy@n&i,42,390.38,2008-06-18
405,405,DSeZA2^DWR,32,172.44,1991-09-08
406,406,hS^KS$pJyh,47,39.84,2018-07-24
407,407,0$BIi6QiS^,65,39.53,1950-07-14
408,408,VWo8Ex00Eg,43,227.44,ir4rPY
409,409,9ylvtssdFc,19,291.49,1992-09-20
410,410,Hjx 5h#poY,79,272.52,1986-11-10
411,411,jXFwoFVm7K,23,474.8,1962-04-03
412,412, aocnmQ7$s,98,345.2,1982-03-06
413,413,yPVs#J9 0I,48,79.27,2011-11-21
414,414,Y%3gC&R6kd,96,491.12,1995-04-26
415,415,*3GNQS$J4r,78,779.75,1951-12-23
416,416,4rX9uIranN,36,651.55,1996-11-27
417,417,2SsGzX@82m,99,913.1,1964-07-10
418,418,Qm6S%F^c3L,25,881.78,2006-01-05
419,419,c9ev9#rMZ&,76,453.27,2016-04-03
420,420,nDpcazKZrr,28,138.09,IU7mHX
421,421,$yZeABLwEO,76,521.8,2010-02-15
422,422,nuj9Lhy7lS,13,77.76,2019-12-28
423,423,K6vjuUzOy9,21,485.87,1981-07-23
424,424,%*zGAQew2b,23,676.79,2022-11-07
425,425,#gcDufP^%9,23,416.78,1968-05-27
426,426,x5SAPwB4A&,26,205.86,2002-12-28
427,427,fkzNU2*Z&1,95,559.06,1954-07-05
428,428,aV1b2c%aA4,45,632.92,2018-12-18
429,429,Ve3naFA7mN,3,715.62,1981-08-09
430,430,Y4bYAzlX&j,28,299.54,1992-01-18
431,431,1$JMo1kI8@,88,270.09,1958-11-10
432,432,^aP#^tj*Qx,58,141.31,1956-05-03
433,433,1qsqhK^9 i,14,281.39,1971-07-24
434,434,MzVeS!Eisn,14,521.27,cgVahk
435,435,Gh$noHYfNz,6,419.65,1986-12-16
436,436,Qawr@wMmlz,74,62.02,a3J5Ep
437,437,h8FQyssjO3,48,832.04,geW8Tk
438,438,#N!bI3*rze,35,808.39,1973-08-11
439,439,TEi!WrRedj,10,252.17,1995-10-19
440,440,3cyTz&QW4c,39,183.11,2016-03-27
441,441,h7vo4SjcfD,76,381.16,1966-08-12
442,442,qssO*lYNvJ,10,814.01,2018-04-27
443,443,jEVDYFSCNY,94,956.69,2007-03-18
444,444,$m5TB#inRn,20,32.34,1997-05-17
445,445,7sZQ80 ZhG,4,746.43,1983-08-11
446,446,QKv7qFZ$DV,10,10.82,2019-01-03
447,447,CQE^8c%OKp,31,712.01,1951-09-23
448,448,HoTMq2#7IB,73,967.6,1953-04-06
449,449,%N SX*lA!X,61,301.62,1980-01-21
450,450,2HRJc R$QE,27,595.09,1961-03-13
451,451,iVW@vnnoOC,72,667.5,9PaniM
452,452,GUdwxs$!Im,18,358.82,1998-04-09
453,453,QcPZGw#q1H,7,508.84,2000-11-05
454,454,2O!P$i2h5W,62,792.66,1974-01-26
455,455, EPB vx5vT,77,441.6,2017-01-04
456,456,!yf#7K$m^U,4,252.85,1961-08-24
457,457,%j^a!tuIL0,41,587.53,1955-01-15
458,458,lrJu@axv9W,93,924.78,6hCgJy
459,459,^nduZ21hWg,82,84.21,1954-02-02
460,460, l6fFw8#Qy,42,247.88,1997-02-27
461,461,!8PH#$HyjD,22,375.76,1970-12-28
462,462,zLErgYxrpP,19,331.41,qZjFus
463,463,^MFMT3KFRG,1,189.76,1966-02-17
464,464,50EomwaB3r,11,927.71,1981-11-18
465,465,KmyVL&bzCr,36,721.92,1994-12-11
466,466,5YyF&DomWu,95,129.78,Ezf7ss
467,467,pI2NvCTYpx,50,776.39,1972-08-10
468,468,@ZOV&zTJ&1,61,110.81,1956-11-08
469,469,1CovgCpLfY,81,699.96,1966-03-03
470,470,N@U 4n#7t$,98,15.92,2009-05-23
471,471,4l3O&e@^5n,97,871.18,2023-05-21
472,472,Oh7Iz4$Gjg,28,126.83,1996-01-14
473,473,bt5fbUZL q,57,877.9,2016-04-17
474,474,T*T$FyKmHY,84,246.92,2004-02-25
475,475,ZiLggzJ8I$,33,849.96,1985-03-03
476,476,0dPR4I5 M0,49,844.68,1975-05-23
477,477,5W#3Gf!WnB,77,851.87,2010-06-02
478,478,JHdFaBdwSJ,30,969.08,1954-03-25
479,479,%B^0$LBGwU,93,149.52,2020-08-20
480,480,y0%WJkqafN,54,399.91,2020-12-17
481,481,dfjgbMrQwS,15,770.0,1985-03-19
482,482,7AJl3GMhlK,8,230.54,2014-11-24
483,483,izoh#aYvSn,89,718.35,8CfAOl
484,484,A5nmKrBVaK,64,156.18,1953-07-09
485,485,5@JUDrYp#y,35,56.87,1976-08-27
486,486,Wo&#%hG7R$,40,580.21,1966-10-07
487,487,1nqrkTi K&,67,41.19,1954-04-06
488,488,B1b#CG1C D,93,574.34,1970-04-18
489,489,TcS# 7KfSs,1,976.8,1971-06-10
490,490,#PP*cCXLc4,2,992.86,waiAmj
491,491,#TLK1uSPkd,79,19.09,2023-03-23
492,492,Jkj@C*OJey,95,519.17,2001-03-25
493,493,^AUf3@#NbV,82,291.03,1950-02-02
494,494,8ccev&ATyu,57,326.51,1962-06-11
495,495,Rsubox49JL,65,798.7,1992-05-06
496,496,8jtEBKUPZe,18,214.03,1998-10-20
497,497,*OLh@YEQlk,1,751.08,2015-05-17
498,498,mUoP72VjgK,12,105.79,2009-09-08
499,499,q^Uy&RcTcp,63,234.78,1995-02-15
500,500,mDK3avBKot,9,316.03,1988-10-07
501,501,u7b%WSRzkP,95,494.8,1953-01-13
502,502,Lv%SWg1zv9,23,61.31,2012-09-13
