FeedbackID,ExhibitionID,AttendeeID,Comments,Rating
134,134,134,P!tE5E@*%J,5
135,135,135,fNPmNtFwwI,2
136,136,136,HpL$NDO6Wp,4
137,137,137,QR%lTIjzuz,1
138,138,138,fNumKA*ZiD,5
139,139,139,tAea1PFj@#,1
140,140,140,oQt3PU9p8#,5
141,141,141,phwxQ6Y78F,1
142,142,142,nuujgjNSD!,5
143,143,143,pRUg6ruz6G,3
144,144,144,8hw*H*n3%#,3
145,145,145,HKiQxkKA0$,3
146,146,146,nDMOr5nFE4,3
147,147,147,k&7Yx9d4FC,5
148,148,148,Og@DSwjUAJ,4
149,149,149,Yr5y*GS*lk,4
150,150,150,eSZBJpvBGb,4
151,151,151,iFjofz4nA!,5
152,152,152,K*7 bEXBlB,5
153,153,153,h 3  es03P,3
154,154,154,V6c29euY!6,2
155,155,155,CviTQ VNhv,5
156,156,156,b#Lm@FRSw9,5
157,157,157,bk beenVLp,4
158,158,158,THZ4OgR*wC,2
159,159,159,F#c0nSP%aH,2
160,160,160,MWgwwEZhhI,1
161,161,161,SSnuKVoWDd,3
162,162,162,yo@jo^CrHm,3
163,163,163,iVzjXQRq k,1
164,164,164,O^$@*nkfm!,4
165,165,165,  1qcEw!qs,4
166,166,166,1^0kIMr*pm,2
167,167,167,c9EMlidFth,1
168,168,168,g714EUBfZG,2
169,169,169,yl@k5c3wGF,4
170,170,170,zpCyMEgV&@,1
171,171,171, oepwcc1$t,1
172,172,172,3R12Y2fSt5,3
173,173,173,&FtIUBfbRL,4
174,174,174,RLN!iWBcpD,4
175,175,175,sv194b!E$k,1
176,176,176,G@BbbUr1XK,3
177,177,177,F3hr4^TFB%,1
178,178,178,x*vd*Eut93,1
179,179,179,u9d4C97seP,1
180,180,180,k%y2^zmHTV,1
181,181,181,$8Qa$uDijy,5
182,182,182, zTd3V$mNO,1
183,183,183,KW5iLn%f^t,1
184,184,184,YJ*M0i9j$A,4
185,185,185,djB8TW%dqS,5
186,186,186,tXIY%^u&9p,2
187,187,187,IXfXK9uBBm,3
188,188,188,gF$PSdLq1N,3
189,189,189,h%wlCnLami,2
190,190,190,dRsjRj7Bxt,4
191,191,191,eCgn*DIHlK,1
192,192,192,*Ttw$8foXn,1
193,193,193,yMWP3phVcY,5
194,194,194,iTTxKHHkq^,5
195,195,195,1FtHms%%*t,4
196,196,196,O$C@cKWxBg,2
197,197,197,w 1RvQmmy6,5
198,198,198,y$1kgOy8 U,3
199,199,199,Uw@sGLiMZs,1
200,200,200,3zqBjPkgN3,5
201,201,201,967T7NTY&V,5
202,202,202,sazny6HK6x,3
203,203,203,ts%N89iZ4q,5
204,204,204,1PyvKKEWKg,5
205,205,205,inwTm v#NZ,1
206,206,206,XQiT3w8%p&,3
207,207,207,NgUyf@djD!,1
208,208,208,$w3T!vdtBy,5
209,209,209,oeoE #YEGr,4
210,210,210,fk#c02fw5*,2
211,211,211,BZukdYU6GV,2
212,212,212,hdim7wN&ta,5
213,213,213,x7eA13Z WM,3
214,214,214,*CG12rziTJ,2
215,215,215,ecA*Qr&LTZ,4
216,216,216,FFI@i%Mryd,4
217,217,217,6MCeZB4y7L,5
218,218,218,e5%cK$I8tg,2
219,219,219,6b PbQ*0Cr,2
220,220,220,SMG!en4#CE,3
221,221,221,%8^zxx@EvV,3
222,222,222,ttemg3dGtT,1
223,223,223,6U32ZjbSHe,4
224,224,224,vhy69T 8Bk,4
225,225,225,e1bxv2w%uE,1
226,226,226,sB6YOu%JGH,1
227,227,227,uAwi7DozGy,5
228,228,228,LpI8bPABU9,2
229,229,229,t6fB@*BO9X,4
230,230,230,pMFyw9t8 ^,1
231,231,231,44mMkZONdt,4
232,232,232,fHEE 9xwt$,4
233,233,233,F TDoYB@X4,2
234,234,234,daePTgYxR1,4
235,235,235,HwazechLWK,5
236,236,236,eab44^*d2v,5
237,237,237,y8Tl6j&Ruc,4
238,238,238,y 1ge4tuWE,2
239,239,239,Cnu%T8qEIt,4
240,240,240,gNJEAEsr$0,3
241,241,241,&7D@tij&xg,2
242,242,242,naSJG&CMOQ,2
243,243,243,UL4qwj44sl,3
244,244,244,Iji&Acf37d,4
245,245,245,5 4OBcYA8X,5
246,246,246,X$A@*Ftdxp,1
247,247,247,Fn5RVAB6@G,4
248,248,248,P@OjMon!bY,4
249,249,249,GVbo9bOk^c,1
250,250,250,TGCNqRcVx8,1
251,251,251,LWESiUWh!J,4
252,252,252,5CXVM4k 3Z,1
253,253,253,XklT&XOy4x,4
254,254,254,P5msD$8HP#,1
255,255,255,G6drUqS2AK,4
256,256,256,nS@UJ4y*1m,3
257,257,257,G2yzkq#U$x,1
258,258,258,9lKzXWoCVm,4
259,259,259,R Y s2@mZW,3
260,260,260,36nDoGgE#5,1
261,261,261,6pc^$NJ5*J,5
262,262,262,32qsYCEy k,4
263,263,263,Wr ^2od9f9,4
264,264,264,2YKh4E&W#B,5
265,265,265,m7z4vS^h P,4
266,266,266,b&H@nvORp3,1
267,267,267,f@Bb*gBXnQ,2
268,268,268,*b#dX%U41p,5
269,269,269,Im#kN4ecWM,5
270,270,270,%BIuA8x2rN,1
271,271,271,UaGH!ujatV,5
272,272,272,Dff S2#%iK,5
273,273,273,PPQ$G&NJkG,4
274,274,274,$kvwbS4Bq6,5
275,275,275,xrdUwR8kdr,4
276,276,276,JAKH4%2^VH,4
277,277,277,N92snz8#0T,2
278,278,278,X2cSqmELK^,3
279,279,279,g5Obxcvrx6,4
280,280,280,^V7vEZcoy6,4
281,281,281,t1XV  0@n2,2
282,282,282,T38pz6yv2Q,1
283,283,283,Jv!eXadqOu,3
284,284,284,IT!9ib!llz,1
285,285,285,XzYA5VeYrx,3
286,286,286,24VQ%a%b*W,3
287,287,287,mXAES!l1D%,5
288,288,288,l5etzmwC9j,2
289,289,289,amC4O1uO5Y,2
290,290,290,J%9VOiMG*Q,2
291,291,291,U%ob2!ublI,4
292,292,292,KmBf7GglSu,5
293,293,293,qFjJb8vIVN,3
294,294,294,IMfxA*JdNr,4
295,295,295,srlylGSVLs,2
296,296,296,K0nhFk71eF,2
297,297,297,@0RD0h0ePN,5
298,298,298,z6K5lg@9te,2
299,299,299,uEpjPuafHb,3
300,300,300,ZyFpvTIJMT,4
301,301,301,&o$&v!LFgf,2
302,302,302,a2*Z5^iBK*,5
303,303,303,8K4UUhd6mO,2
304,304,304,FX@^$aRl2D,4
305,305,305,DLC1zIKRiu,3
306,306,306,u#z3AstV!o,5
307,307,307,Bx$PDlPOj0,4
308,308,308,CYdD5Y2nEu,4
309,309,309,CeKTRD$Vya,4
310,310,310,oh2ZWaR# p,4
311,311,311,%I&*8UK C7,3
312,312,312,EJ@jwltBiT,5
313,313,313,3K$^68v4TG,3
314,314,314,ZZ95%mYs1^,4
315,315,315,Jtego9onbz,2
316,316,316,FE $^&oJkg,2
317,317,317,OgoZUE3HyC,2
318,318,318,S anj3#4&9,1
319,319,319,Es4wBK6Iam,1
320,320,320,8yIRzKSo92,1
321,321,321,sNpWK#jJdb,2
322,322,322,Yw!j!xdfgo,3
323,323,323,e4$iQn*sXv,4
324,324,324,5gEDqE!bGE,2
325,325,325,7xeIUgNGYU,4
326,326,326,NL$W 2Hs5T,2
327,327,327,$7qqNAPXdP,5
328,328,328,Y tDP9lFJ4,3
329,329,329,GdCptMeVXS,1
330,330,330,XsC7Yzc6jr,2
331,331,331,d!Qn7#Iyya,5
332,332,332,mous2GxF5N,1
333,333,333,##ZyixSRT2,5
334,334,334,^zCpotdFAL,2
335,335,335,1hzYV!KtR^,5
336,336,336,XjhJz%oG$Z,4
337,337,337,c#XC392w*!,1
338,338,338,gD7Lhqvig7,4
339,339,339,1DZdrQ4KTO,4
340,340,340,QLfmEhxmI0,1
341,341,341,fmMzwC Rg8,1
342,342,342,J!FN4yz%E@,4
343,343,343,#hA2wDTGf%,4
344,344,344,YrAAj!Phj$,4
345,345,345,rLAnKfamOa,4
346,346,346,Hz&k6PCxIx,2
347,347,347,ykhO5pKXKi,3
348,348,348,U$6w@3s*Uq,2
349,349,349,K!d0Zz3cPl,2
350,350,350,7H^wtuh!CM,3
351,351,351,qXMsj G4t9,1
352,352,352,r2LAoBbDqQ,3
353,353,353,0WST^5j5H*,2
354,354,354,#QSM0E^Jch,2
355,355,355,46*6o*cC2 ,5
356,356,356,lt oEH&&*Y,5
357,357,357,g&$gW@@I$k,5
358,358,358,SS869 Hfm ,5
359,359,359,R2SixEKDax,3
360,360,360,&^ndbYI^oU,3
361,361,361,MVCQUg3GrC,3
362,362,362,E*56d1vrw6,5
363,363,363,78zglj!JL#,1
364,364,364,eR$N^V#!fd,5
365,365,365,apbw9@XFJf,3
366,366,366,w2lJa^91P0,2
367,367,367,Z$o8iK6@ZP,4
368,368,368,54e@DEQMQo,1
369,369,369,AzwyHeVDi2,2
370,370,370,Q2p!qZ$VFT,3
371,371,371,Y@7BHUr&Qd,5
372,372,372,3n1zYw#QG8,1
373,373,373,V5gZ2wQg@W,1
374,374,374,mlX8fA0@sF,4
375,375,375,Dv95&wX9Io,1
376,376,376,k8yWvHx Ik,5
377,377,377,gKRmpUDrVw,2
378,378,378,9&kvsie36%,5
379,379,379,0 cbQs&9Vg,4
380,380,380,BEMFaD2w&$,1
381,381,381,mktK4ipsGm,5
382,382,382,aAM@y9ccld,2
383,383,383,J^K6QB6!^Z,3
384,384,384,1$rYpx6irw,4
385,385,385,AaIU0wo7Y#,1
386,386,386,p8zQub C6%,4
387,387,387,6pwdw@piIl,3
388,388,388,lSlAy!zF1Y,4
389,389,389,eToD 8D^Ps,5
390,390,390,atE9tqN tQ,4
391,391,391,%1K@e2kWCR,2
392,392,392,OsTFVslgYq,1
393,393,393,CkOTQP2zAH,5
394,394,394,6w&aFcV0@S,3
395,395,395,7%jBS5pUlW,5
396,396,396,QjhagxBJ^u,5
397,397,397,BLgAQk*l5v,3
398,398,398,YAV m%gWRs,4
399,399,399, dIBDOI6BT,5
400,400,400,WS3$P56%#p,5
401,401,401,J80FOfWM^3,3
402,402,402,U#sWrGnBG@,5
403,403,403,lNoEqza$Nz,3
404,404,404,Ug%iWO7@p&,4
405,405,405,Hrjga!TC%s,5
406,406,406,v^!qApy6d@,2
407,407,407,TyuiqpKkIG,3
408,408,408,nieajkwA#1,1
409,409,409,yH49uIeBKV,1
410,410,410,lcEaKlSqqP,4
411,411,411,GjJHRg!Ij4,3
412,412,412,Ug#NmfU3 I,4
413,413,413,53 5L@pS%X,3
414,414,414,GeKx& 5JKm,4
415,415,415,2b*^Ya#qs^,3
416,416,416,Qq&Quz%bc6,1
417,417,417,cjg0g3WLhG,5
418,418,418,4BWHYZtvx1,5
419,419,419,PL1Kd2mu2e,1
420,420,420,iAKQ1Id#$n,3
421,421,421,FfRV*%Q1Ae,5
422,422,422,efTKNqIvZh,1
423,423,423,X*IW3kDcw&,1
424,424,424,!3aI3tujVS,2
425,425,425,&QJc460A59,5
426,426,426,Wyck%g*Q$*,2
427,427,427,k$oq!eiqiB,3
428,428,428, 3wTE&Fa#Q,1
429,429,429,Q%P@SkbGC@,1
430,430,430,WRq4umYsBA,5
431,431,431,5$J$Pv*kas,4
432,432,432,^YkoIpxLkf,2
433,433,433,UHoa4 6F5R,2
434,434,434,SvtzIY &M8,3
435,435,435,Ve& Wz%r6B,5
436,436,436,33S#7mq@GW,1
437,437,437,dvvgAQWMyI,1
438,438,438,llouK^kD%w,5
439,439,439,74Q4 2ngjO,2
440,440,440,3o!MS7CEsb,1
441,441,441,L7%LVxO@cI,4
442,442,442,CLZrni*Ht4,2
443,443,443,vDPTp&Ov$P,2
444,444,444,eANwRWL7$g,4
445,445,445,gS6MhmZ3$N,2
446,446,446,sqwFF$Da^T,5
447,447,447,*Yfk7yWs0#,5
448,448,448,h4qNsgH4ns,1
449,449,449,oBy!Cu 7A2,3
450,450,450,2cV@Ix9eWy,3
451,451,451,IEMLoxAaSo,1
452,452,452,J6EkP#1e45,5
453,453,453,ty r*WHwPf,5
454,454,454,kO6%deh!T9,5
455,455,455,w*2qRZr^0T,4
456,456,456,Rvid5 MrBU,3
457,457,457,L6%HXKAdkJ,2
458,458,458,bLsC4nc%eH,4
459,459,459,WVQE8QUL9e,1
460,460,460,A4BXX60q#^,5
461,461,461,NWkui@Dp h,3
462,462,462,r%FIkyE*Th,3
463,463,463,RNsZ@260C6,5
464,464,464,CWbHDtDm6^,4
465,465,465,gxGSgyeh#A,3
466,466,466,!0R1Hcm#LE,2
467,467,467,exe sazBPH,4
468,468,468,OL#rD7LLG#,3
469,469,469,@uu*^sLEJ!,4
470,470,470,y58aEYifVz,4
471,471,471, V5ijmq%WF,4
472,472,472,v0T$EkP6UA,1
473,473,473,V#RC6H$Uxp,3
474,474,474,jnk9dm5jNg,3
475,475,475,7VsLEOmvdx,1
476,476,476,b72mtLKjjD,4
477,477,477,3!ieJFVGcE,5
478,478,478,$sTx1duiHG,4
479,479,479,tO0dAC056k,4
480,480,480,1&ducbrQUq,4
481,481,481,c^ZR380FD5,5
482,482,482,avKGrw6gq2,1
483,483,483,F96JQRG99Q,3
484,484,484,^rq47jVKwF,1
485,485,485,Zd8DmK kS4,2
486,486,486,f^CMRs9VOb,5
487,487,487,pCJ4TBTcDc,2
488,488,488,jrWr9ubRkh,4
489,489,489,Xx2idDs#OO,2
490,490,490,3D4eO23rG*,5
491,491,491,2&PGHOj6De,1
492,492,492,CJl3 A7c8X,4
493,493,493,^lUMdFOplb,4
494,494,494,cSRV41IxRb,5
495,495,495,04eh*w#S9K,3
496,496,496,VJeo2oDO^$,5
497,497,497,PddDeQNQ9f,4
498,498,498,$rXAo@92c0,4
499,499,499,eR!cMM0Keb,2
500,500,500,%vYzP2c8&D,2
501,501,501,M3rafI$wQv,1
502,502,502,$BQFG4A#zN,4
503,503,503,mG6GdGPKG3,3
504,504,504,dgI3FD@ih2,4
505,505,505,yk#UfHjH0e,1
506,506,506,ei@iVvzvMK,1
507,507,507,NpVAltfgVe,2
508,508,508,sTQiReSzgN,5
509,509,509,DQpspnnyme,1
510,510,510,0fATBBwwb6,3
511,511,511,l@kyfWbWo8,3
512,512,512,Zt05AH6h0k,5
513,513,513,zjX5O@S3zC,2
514,514,514,habI5VKEP*,4
515,515,515,RNBxeP54gv,2
516,516,516,XV*XD6p4Zx,5
517,517,517,QeZ!h@%keD,4
518,518,518,SMByr^Q%*0,4
519,519,519,jdZO4Hw$qO,4
520,520,520,Lm1Yio#j0u,3
521,521,521,5bR3snn!cY,5
522,522,522,7oq^sJ%HSt,3
523,523,523,f5YhA&QGod,1
524,524,524,hff1F3sJZo,1
525,525,525,alpnp4YG#a,1
526,526,526,SAKK*%7L^r,5
527,527,527,W*5JF$&@aG,1
528,528,528,Mb2JbjhWtN,5
529,529,529,5xfzFgPg0t,1
530,530,530,f#KdR1QVCh,1
531,531,531,D5pzM@S9k4,4
532,532,532,E4IXbqzSrW,4
533,533,533,K%lzbGoBy3,5
534,534,534,5&@M@wWxGY,1
535,535,535,RFxgo7 HaI,5
536,536,536,k3xoANg @$,2
537,537,537,Fej7WmJyvv,5
538,538,538,I2qTWNa5iQ,5
539,539,539,n$fW5OUfbS,4
540,540,540,iEhmsQIEva,5
541,541,541,8zbUEF7uGS,5
542,542,542,8kNuSl$Tsz,3
543,543,543,a%GEeCZ1!F,4
544,544,544,MS#7epEXNs,3
545,545,545,tErs2Xb^9a,5
546,546,546,McYF0Vn@MV,4
547,547,547,Na80hjbFTf,5
548,548,548,UbOD $BPo*,1
549,549,549,xpct$o@rYd,3
550,550,550,9Sr^mbUp40,1
551,551,551,bv48ZV&8j3,2
552,552,552,43U3K@A@Fn,3
553,553,553,p 9 DXZdfz,4
554,554,554,u &DO#&^dB,5
555,555,555,*XE3R3smNd,2
556,556,556,auSQOLqnBm,5
557,557,557,2$ vqREPqZ,3
558,558,558,PHM^d4 7ff,2
559,559,559,i@Vd9h&WD2,4
560,560,560,#9 C5cWEjr,1
561,561,561,8ZIA^JrWN%,4
562,562,562,8ORG6 zFgn,1
563,563,563,#ca4i95^T5,5
564,564,564,wA#!WFSTFC,4
565,565,565,8cfX9#3BYh,5
566,566,566,*3$zdSSGCv,5
567,567,567,F hmnw5VJz,3
568,568,568,8go *8Mt*i,5
569,569,569,XlUC4u0Pwy,1
570,570,570,J!a!ewNyOo,1
571,571,571,N9$5O0@xAi,1
572,572,572,!%3U*yqJYL,5
573,573,573,agdqg&1QCP,3
574,574,574,EFT!OYpf4%,4
575,575,575,OIVwC a6XF,3
576,576,576,FJKIGq!HDr,4
577,577,577,8G5QsS!2Sx,1
578,578,578,F2NztRqX%T,2
579,579,579,nA5J3*0Y7r,3
580,580,580,x*5Orwaqcu,5
581,581,581,IT&CYXekCn,2
582,582,582,TJkatao6^l,4
583,583,583,RB%7M*x#oX,5
584,584,584,F34#EEvkW$,2
585,585,585,NSIDvX&Qij,5
586,586,586,6Rd0Q!*do@,5
587,587,587,MQVq55 JCh,3
588,588,588,QkLhpQSOoH,5
589,589,589,BKbJjOS49x,4
590,590,590,***d&0@u1L,2
591,591,591,hi%OI^P6Hh,4
592,592,592,EQzhTRqxS5,1
593,593,593,6&Dj1@Fzy ,4
594,594,594,Tn&DeJL07m,4
595,595,595,zrc@#wVzdi,1
596,596,596,Tt6XzQg8Yz,3
597,597,597,N#OHAs41Ui,1
598,598,598,uRP6cHx1^3,1
599,599,599,qsM4HYjEs*,5
600,600,600,tPnk3AwLMJ,1
601,601,601,hczhNE FdY,3
602,602,602,KBCVp9%%GE,5
603,603,603,q&B#Hl4vQF,4
604,604,604,@6xccDJW96,4
605,605,605,38wtuSFsbD,5
606,606,606,K7UqC6WQnT,5
607,607,607,#D$i%DTk69,4
608,608,608,x35JTkP65*,1
609,609,609,jDBzXrC4Nn,4
610,610,610,rYIIKp6A83,1
611,611,611,QnarS0DpmJ,2
612,612,612,n!wIlff&Ea,3
613,613,613,v7sE9bnh6i,2
614,614,614,NL#CZ@aCvi,2
615,615,615,DAV*Zt0Le@,3
616,616,616,bBG@kI@&!z,3
617,617,617,z!9dsw@LIo,1
618,618,618,p@dWczEPEz,4
619,619,619,rjIpIUCTLS,3
620,620,620,D0OLUThMVK,2
621,621,621,h^yK^oJl2M,4
622,622,622,N$4cgZ!T7N,4
623,623,623,&4&JsClNLg,1
624,624,624,5LUBY7Ub#R,4
625,625,625,8Y^AfzNYfj,5
626,626,626,JD!9f5ab&S,5
627,627,627,PO fd@&oZ8,1
628,628,628,!7FT&U1M2G,4
629,629,629,YO6L*@Y@Xb,1
630,630,630,ilmGap1#tz,3
631,631,631,wLk dEX!4F,4
632,632,632,^C^cIewWuc,3
633,633,633,odp2Z8O6fq,1
634,634,634,IUds!lB#B3,4
635,635,635,x52SiL0^5@,4
636,636,636,A&PcOx8nMn,4
637,637,637,V$mcFw7xeE,4
638,638,638,Wlr$C zgV9,1
639,639,639,Y8V!NIIC*m,4
640,640,640,4vgftaVYIY,5
641,641,641, WGw12Gf5u,4
642,642,642,kJUS*xObgo,5
643,643,643,nWxnOxArR^,1
644,644,644,NBuqtnQPfH,5
645,645,645,LNq6N#ihfh,4
646,646,646,MYtWnMvasR,4
647,647,647,HTLkDuUEct,3
648,648,648,BGz%SsEi&K,3
649,649,649,5d7CqS%Pmb,5
650,650,650,^l3xH6i6SL,5
651,651,651,rHMnwaue60,5
652,652,652,9joeLet2yK,5
653,653,653,P35Zo@7kkz,1
654,654,654,^wM!5U#@pf,5
655,655,655,d9r7Wp*TXR,2
656,656,656,h&BTJ!*EjY,5
657,657,657,3aUC!Yg%2e,4
658,658,658,h$w04l3#VF,2
659,659,659,e#L!5 oPXP,4
660,660,660,* OncQO^ E,2
661,661,661,#XMz^&#lE6,1
662,662,662,j6wVgqhC2E,2
663,663,663,!HtT!G3FLe,4
664,664,664,2jffj^mq&c,5
665,665,665,Y9Dj^PSNt2,4
666,666,666,dghX1ECPxV,1
667,667,667,0v1$XFyc#a,3
668,668,668,hI 5CPVTyR,1
669,669,669,zHIH7^%d9#,1
670,670,670,RmpgPZyEth,2
671,671,671,88Pr%cc!%9,5
672,672,672,&XSF3zyI%v,5
673,673,673,bjSMSCxGm1,2
674,674,674,4R@Of7Fd$m,4
675,675,675,2cw!kqnqut,3
676,676,676,ptm35R$s%g,4
677,677,677,EVVE^wv#Vd,4
678,678,678,@P4j78BOF7,2
679,679,679,hQP2y!gRgu,1
680,680,680,iGI#uZt#MV,4
681,681,681,FL*Dm&4Gc&,5
682,682,682,B1F%olPe&@,3
683,683,683,yZJaJg7dbr,1
684,684,684,lJx8v1gt #,5
685,685,685,$QxiQcSsYL,1
686,686,686,lQw&Dp q^Y,2
687,687,687,M49VN@7f%r,5
688,688,688,vOjxaLEaQ#,2
689,689,689,Nh&kDUR7qK,2
690,690,690,K^aFndmkwF,2
691,691,691,z1H#gh0i76,5
692,692,692,v@q#*zMxAL,2
693,693,693,yDqCUuWwt2,5
694,694,694,yjC$1c5xpt,5
695,695,695,Z4a*nH2HFa,4
696,696,696,G6KND #j3C,5
697,697,697,iSvaWDhGbf,4
698,698,698,AlMRCN&1Ss,1
699,699,699,@p79nlR*of,3
700,700,700,5dyFcO%&qR,2
701,701,701,Q#S@mf%6t2,5
702,702,702,8@oJPD0kCB,3
703,703,703,drpS$93Zq9,2
704,704,704,RA5QG#@E^0,5
705,705,705,e&H90$#MyA,1
706,706,706,kc*TjyEcdD,5
707,707,707,Yy5o3yfGlR,4
708,708,708,e2O5FazT!$,1
709,709,709,17r1 7LUWE,5
710,710,710,PEFOrrV27d,5
711,711,711,FYkpr09ntt,1
712,712,712,dYS*BkSJBX,1
713,713,713, gulgn7aTj,2
714,714,714,01bvb lhf3,3
715,715,715,LddEo9uUVg,2
716,716,716,4qsAljiZCM,2
717,717,717,E 0GXScY6r,3
718,718,718,3G5#Ex2eX3,4
719,719,719,jQh2B@epDw,5
720,720,720,TqOOkQ3hr6,2
721,721,721,CMyL!r&ELA,2
722,722,722,m%mKHGDSmz,4
723,723,723,IuphMScgAh,2
724,724,724,hRQm@bI4bA,4
725,725,725,#KoviRPNwz,3
726,726,726,fThfC qFFj,2
727,727,727,4Uhcq^1gAj,2
728,728,728,v9j3dy9uV ,5
729,729,729,vLBn@QytUU,1
730,730,730,wOe0gX#G@5,3
731,731,731, a#R4m8I3g,4
732,732,732,Onz!6A$227,5
733,733,733,Vmqep2@45r,3
734,734,734,CPBBDUXGJ!,4
735,735,735,E#aQZDMk^X,5
736,736,736,Fz jxww7fU,3
737,737,737,3C2%Wa194o,2
738,738,738,a%ixRX0ePD,1
739,739,739,OrYFdz48wm,2
740,740,740,UNKmK#Vb%y,4
741,741,741,^ejfc5A5Ed,4
742,742,742,8mZRrlJqY^,5
